,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
187,Coconut Recipes,Carrot Pineapple Cake I,https://www.allrecipes.com/recipe/15810/carrot-pineapple-cake-i/,30 m,45 m,1 h 15 m,Original recipe yields 24 servings (1 - 9x13 inch pan),329  cals,19.1 ,37.6,3.6 ,39 ,288 ,"2 cups all-purpose flour;2 teaspoons baking soda;1 teaspoon baking powder;1 teaspoon salt;2 teaspoons ground cinnamon;1 3/4 cups white sugar;1 cup vegetable oil;3 eggs;1 teaspoon vanilla extract;2 cups shredded carrots;1 cup flaked coconut;1 cup chopped walnuts;1 (8 ounce) can crushed pineapple, drained;1 (8 ounce) package cream cheese;1/4 cup butter, softened;2 cups confectioners' sugar",4
188,Coconut Recipes,Pineapple Upside-Down Cake V,https://www.allrecipes.com/recipe/8429/pineapple-upside-down-cake-v/,10 m,40 m,1 h 10 m,Original recipe yields 12 servings (1 - 2 layer 9 inch cake),322  cals,9.8 ,57.7,2.2 ,11 ,324 ,"1 (10 ounce) jar maraschino cherries, drained;1/4 cup butter;1/2 cup packed brown sugar;1/2 cup flaked coconut;1 (8 ounce) can sliced pineapple, drained with juice reserved;1 (8 ounce) can crushed pineapple, drained with juice reserved;1 (18.25 ounce) package yellow cake mix",5
189,Coconut Recipes,Seven Layer Bars,https://www.allrecipes.com/recipe/9889/seven-layer-bars/,15 m,25 m,1 h,Original recipe yields 36 servings (3 dozen),155  cals,9.5 ,16.5,1.9 ,10 ,49 ,1/2 cup unsalted butter;1 1/2 cups graham cracker crumbs;1 cup semisweet chocolate chips;1 cup butterscotch chips;1 cup chopped walnuts;1 (14 ounce) can sweetened condensed milk;1 1/3 cups shredded coconut,4
190,Coconut Recipes,Coconut Cream Cake I,https://www.allrecipes.com/recipe/17354/coconut-cream-cake-i/,15 m,35 m,8 h 50 m,Original recipe yields 24 servings (1 - 9x13 inch pan),288  cals,14.6 ,36.6,3.5 ,42 ,190 ,1 (18.25 ounce) package white cake mix;3 eggs;1/3 cup vegetable oil;1 cup water;1/2 teaspoon coconut extract;1 (14 ounce) can sweetened cream of coconut;1 (14 ounce) can sweetened condensed milk;1 cup heavy whipping cream;1 tablespoon white sugar;1 cup flaked coconut,4
191,Coconut Recipes,Chococonut Chip Cookies ,https://www.allrecipes.com/recipe/19205/chococonut-chip-cookies/,10 m,10 m,20 m,Original recipe yields 72 servings (6 dozen),85  cals,4.7 ,10.8,0.9 ,12 ,77 ,1 cup butter;1 cup white sugar;1/2 cup light brown sugar;2 eggs;1 teaspoon vanilla extract;2 1/4 cups all-purpose flour;1 teaspoon baking soda;1 teaspoon salt;2 cups semisweet chocolate chips;2 cups flaked coconut,3
192,Coconut Recipes,Oatmeal Chocolate  Coconut Chewy,https://www.allrecipes.com/recipe/10245/oatmeal-chocolate-coconut-chewy/,,,,Original recipe yields 30 servings (5 dozen),256  cals,13.7 ,32.4,3.5 ,29 ,141 ,"1 cup butter, softened;1 1/4 cups packed brown sugar;1/2 cup white sugar;2 eggs;2 tablespoons milk;2 teaspoons vanilla extract;1 3/4 cups all-purpose flour;1 teaspoon baking soda;1/2 teaspoon salt (optional);3 cups rolled oats;2 cups semisweet chocolate chips;1 cup chopped walnuts (optional);1 cup shredded coconut",4
193,Coconut Recipes,German Chocolate Cake Frosting II,https://www.allrecipes.com/recipe/19118/german-chocolate-cake-frosting-ii/,15 m,15 m,30 m,Original recipe yields 12 servings (1 frosting for 2 layer cake),265  cals,18.4 ,23.5,3.2 ,57 ,129 ,"1 cup evaporated milk;1 cup white sugar;3 egg yolk, beaten with 1 teaspoon water;1/2 cup margarine;1 teaspoon vanilla extract;1 cup chopped pecans;1 cup flaked coconut",1
194,Dates Recipes,Bacon Wrapped Dates Stuffed with Blue Cheese,https://www.allrecipes.com/recipe/75417/bacon-wrapped-dates-stuffed-with-blue-cheese/,20 m,40 m,1 h,Original recipe yields 32 servings (32 appetizers),78  cals,3 ,10.8,2.8 ,8 ,157 ,"1 pound sliced bacon, cut in half;1 pound pitted dates;4 ounces blue cheese",3
195,Dates Recipes,Healthy Banana Cookies,https://www.allrecipes.com/recipe/9615/healthy-banana-cookies/,15 m,20 m,50 m,Original recipe yields 36 servings (3 dozen),56  cals,2.4 ,8.4,0.8 ,0 ,< 1 ,"3 ripe bananas;2 cups rolled oats;1 cup dates, pitted and chopped;1/3 cup vegetable oil;1 teaspoon vanilla extract",3
196,Dates Recipes,Gramma's Date Squares,https://www.allrecipes.com/recipe/11298/grammas-date-squares/,25 m,25 m,50 m,Original recipe yields 12 servings (1 -9x9 inch pan),363  cals,12.5 ,63.7,3.7 ,31 ,217 ,"1 1/2 cups rolled oats;1 1/2 cups sifted pastry flour;1/4 teaspoon salt;3/4 teaspoon baking soda;1 cup packed brown sugar;3/4 cup butter, softened;3/4 pound pitted dates, diced;1 cup water;1/3 cup packed brown sugar;1 teaspoon lemon juice",4
