,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
117,Chocolate Desserts,Flourless Chocolate Cake I,https://www.allrecipes.com/recipe/8149/flourless-chocolate-cake-i/,,,,Original recipe yields 16 servings (1 -10 inch round cake),341  cals,24 ,27.5,4.6 ,102 ,66 ,1/2 cup water;1/4 teaspoon salt;3/4 cup white sugar;18 (1 ounce) squares bittersweet chocolate;1 cup unsalted butter;6 eggs,6
118,Chocolate Desserts,Chocolate Mexican Wedding Cookies,https://www.allrecipes.com/recipe/9843/chocolate-mexican-wedding-cookies/,,,,Original recipe yields 8 servings (16 cookies),517  cals,36.9 ,45.7,4.7 ,61 ,167 ,"1 cup butter, softened;1/3 cup confectioners' sugar;2 teaspoons vanilla extract;1 3/4 cups all-purpose flour;1 cup ground pecans;1/2 cup German sweet chocolate, grated;3/4 teaspoon ground cinnamon;1 pinch salt;1/2 cup confectioners' sugar;1/4 cup German sweet chocolate, grated",7
119,Chocolate Desserts,Coconut Macaroon Brownies,https://www.allrecipes.com/recipe/25016/coconut-macaroon-brownies/,25 m,45 m,1 h 15 m,Original recipe yields 18 servings (18 bars),479  cals,29.1 ,51.6,7 ,76 ,125 ,"1 cup butter, softened;2 cups white sugar;4 eggs;1 1/2 teaspoons vanilla extract;2 cups all-purpose flour;3/4 teaspoon cream of tartar;1/2 cup unsweetened cocoa powder;1/2 cup chopped walnuts;4 cups unsweetened flaked coconut;1 (14 ounce) can sweetened condensed milk;1 tablespoon vanilla extract",4
120,Chocolate Desserts,Elizabeth's Extreme Chocolate Lover's Cake,https://www.allrecipes.com/recipe/26027/elizabeths-extreme-chocolate-lovers-cake/,25 m,35 m,1 h,Original recipe yields 16 servings (1 - 2 layer 9 inch cake),759  cals,40.7 ,100.9,8.9 ,115 ,322 ,"Cake:;2 1/4 cups all-purpose flour;2 teaspoons baking soda;1/2 teaspoon salt;6 (1 ounce) squares unsweetened chocolate, chopped;1/2 cup unsalted butter;2 1/2 cups dark brown sugar;3 eggs;1 1/2 teaspoons vanilla extract;1 cup sour cream;1 cup water;Frosting:;6 (1 ounce) squares unsweetened chocolate, chopped;1/4 cup unsalted butter;1 egg yolk;4 cups confectioners' sugar;2 tablespoons vanilla extract;2 tablespoons heavy cream;1 (8 ounce) package cream cheese, softened;GANACHE:;2 cups bittersweet chocolate chips;1 cup heavy cream",6
121,Chocolate Desserts,Lots of Chocolate Cherry Cookies,https://www.allrecipes.com/recipe/220024/lots-of-chocolate-cherry-cookies/,15 m,10 m,25 m,Original recipe yields 24 servings (24 cookies),130  cals,5.4 ,19.4,1.6 ,18 ,51 ,"1 cup all-purpose flour;1/4 cup unsweetened cocoa powder;1 teaspoon baking powder;1/4 teaspoon salt;1/2 cup unsalted butter, softened;1 cup white sugar;1 egg;1 teaspoon instant coffee granules;1 teaspoon vanilla extract;1/4 cup miniature semisweet chocolate chips;1/4 cup white chocolate chips;1 cup dried cherries",11
122,Chocolate Desserts,White Chocolate Raspberry Cheesecake,https://www.allrecipes.com/recipe/25642/white-chocolate-raspberry-cheesecake/,1 h,1 h,10 h,Original recipe yields 16 servings (1 - 9 inch cheesecake),412  cals,28.3 ,34.4,6.8 ,96 ,226 ,"1 cup chocolate cookie crumbs;3 tablespoons white sugar;1/4 cup butter, melted;1 (10 ounce) package frozen raspberries;2 tablespoons white sugar;2 teaspoons cornstarch;1/2 cup water;2 cups white chocolate chips;1/2 cup half-and-half cream;3 (8 ounce) packages cream cheese, softened;1/2 cup white sugar;3 eggs;1 teaspoon vanilla extract",5
123,Chocolate Desserts,Best Chocolate Chip Cookies,https://www.allrecipes.com/recipe/10813/best-chocolate-chip-cookies/,20 m,10 m,1 h,Original recipe yields 24 servings (4 dozen),298  cals,15.6 ,38.8,3.6 ,36 ,166 ,"1 cup butter, softened;1 cup white sugar;1 cup packed brown sugar;2 eggs;2 teaspoons vanilla extract;1 teaspoon baking soda;2 teaspoons hot water;1/2 teaspoon salt;3 cups all-purpose flour;2 cups semisweet chocolate chips;1 cup chopped walnuts",3
124,Chocolate Desserts,Best Brownies,https://www.allrecipes.com/recipe/10549/best-brownies/,25 m,35 m,1 h,Original recipe yields 16 servings (16 brownies),183  cals,9 ,25.7,1.8 ,44 ,110 ,"1/2 cup butter;1 cup white sugar;2 eggs;1 teaspoon vanilla extract;1/3 cup unsweetened cocoa powder;1/2 cup all-purpose flour;1/4 teaspoon salt;1/4 teaspoon baking powder;Frosting:;3 tablespoons butter, softened;3 tablespoons unsweetened cocoa powder;1 tablespoon honey;1 teaspoon vanilla extract;1 cup confectioners' sugar",4
125,Chocolate Desserts,"Best Big, Fat, Chewy Chocolate Chip Cookie",https://www.allrecipes.com/recipe/25037/best-big-fat-chewy-chocolate-chip-cookie/,10 m,15 m,40 m,Original recipe yields 18 servings (1 1/2 dozen),285  cals,13.9 ,40.1,2.8 ,42 ,111 ,"2 cups all-purpose flour;1/2 teaspoon baking soda;1/2 teaspoon salt;3/4 cup unsalted butter, melted;1 cup packed brown sugar;1/2 cup white sugar;1 tablespoon vanilla extract;1 egg;1 egg yolk;2 cups semisweet chocolate chips",4
126,Chocolate Desserts,Award Winning Soft Chocolate Chip Cookies,https://www.allrecipes.com/recipe/15004/award-winning-soft-chocolate-chip-cookies/,15 m,12 m,1 h 40 m,Original recipe yields 72 servings (6 dozen),177  cals,10.5 ,20.7,2.1 ,24 ,116 ,"4 1/2 cups all-purpose flour;2 teaspoons baking soda;2 cups butter, softened;1 1/2 cups packed brown sugar;1/2 cup white sugar;2 (3.4 ounce) packages instant vanilla pudding mix;4 eggs;2 teaspoons vanilla extract;4 cups semisweet chocolate chips;2 cups chopped walnuts (optional)",3
