,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
50,Pasta Main Dishes,To Die For Fettuccine Alfredo,https://www.allrecipes.com/recipe/23431/to-die-for-fettuccine-alfredo/,15 m,15 m,30 m,Original recipe yields 6 servings,964  cals,61.2 ,84,23.7 ,184 ,582 ,24 ounces dry fettuccini pasta;1 cup butter;3/4 pint heavy cream;salt and pepper to taste;1 dash garlic salt;3/4 cup grated Romano cheese;1/2 cup grated Parmesan cheese,3
51,Pasta Main Dishes,Spaghetti Carbonara II,https://www.allrecipes.com/recipe/11973/spaghetti-carbonara-ii/,20 m,20 m,40 m,Original recipe yields 8 servings,444  cals,21.1 ,44.7,16.4 ,118 ,369 ,"1 pound spaghetti;1 tablespoon olive oil;8 slices bacon, diced;1 tablespoon olive oil;1 onion, chopped;1 clove garlic, minced;1/4 cup dry white wine (optional);4 eggs;1/2 cup grated Parmesan cheese;1 pinch salt and black pepper to taste;2 tablespoons chopped fresh parsley;2 tablespoons grated Parmesan cheese",4
52,Pasta Main Dishes,Pesto Chicken Florentine,https://www.allrecipes.com/recipe/16723/pesto-chicken-florentine/,,,,,,,,,,,,0
53,Pasta Main Dishes,Chicken Fettuccini Alfredo,https://www.allrecipes.com/recipe/25303/chicken-fettuccini-alfredo/,,,,,,,,,,,,0
54,Pasta Main Dishes,Artichoke Spinach Lasagna,https://www.allrecipes.com/recipe/20082/artichoke-spinach-lasagna/,20 m,1 h,1 h 20 m,Original recipe yields 8 servings,396  cals,16 ,44.5,21.1 ,42 ,1139 ,"cooking spray;9 uncooked lasagna noodles;1 onion, chopped;4 cloves garlic, chopped;1 (14.5 ounce) can vegetable broth;1 tablespoon chopped fresh rosemary;1 (14 ounce) can marinated artichoke hearts, drained and chopped;1 (10 ounce) package frozen chopped spinach, thawed, drained and squeezed dry;1 (28 ounce) jar tomato pasta sauce;3 cups shredded mozzarella cheese, divided;1 (4 ounce) package herb and garlic feta, crumbled",5
55,Pasta Main Dishes,Penne with Spicy Vodka Tomato Cream Sauce,https://www.allrecipes.com/recipe/11815/penne-with-spicy-vodka-tomato-cream-sauce/,10 m,15 m,25 m,Original recipe yields 8 servings,435  cals,18.4 ,52.7,13.3 ,29 ,544 ,"1 pound uncooked penne pasta;1/4 cup extra virgin olive oil;4 cloves garlic, minced;1/2 teaspoon crushed red pepper flakes;1 (28 ounce) can crushed tomatoes;3/4 teaspoon salt;2 tablespoons vodka;1/2 cup heavy whipping cream;1/4 cup chopped fresh parsley;2 (3.5 ounce) links sweet Italian sausage",4
56,Homemade Pasta,Eggless Pasta,https://www.allrecipes.com/recipe/12044/eggless-pasta/,,,,Original recipe yields 4 servings (4 cups of noodles),301  cals,0.9 ,60.8,10.6 ,0 ,292 ,2 cups semolina flour;1/2 teaspoon salt;1/2 cup warm water,5
57,Homemade Pasta,Granny's Homemade Noodles,https://www.allrecipes.com/recipe/187155/grannys-homemade-noodles/,30 m,4 h 30 m,,Original recipe yields 6 servings,275  cals,3.9 ,48.1,10.6 ,124 ,476 ,4 eggs;2 tablespoons water;3 cups all-purpose flour;1 teaspoon salt;1/2 teaspoon baking powder,2
58,Homemade Pasta,Fresh Semolina and Egg Pasta,https://www.allrecipes.com/recipe/17662/fresh-semolina-and-egg-pasta/,30 m,5 m,1 h 5 m,Original recipe yields 8 servings,348  cals,7.8 ,54.5,13.2 ,140 ,54 ,2 cups all-purpose flour;2 cups semolina flour;1 pinch salt;6 large eggs;2 tablespoons olive oil,3
59,Homemade Pasta,Whole Wheat Pasta,https://www.allrecipes.com/recipe/72525/whole-wheat-pasta/,40 m,40 m,,Original recipe yields 4 servings,416  cals,8.6 ,68.8,17.3 ,186 ,293 ,1 1/2 cups all-purpose flour;1 1/2 cups whole wheat flour;1/2 teaspoon sea salt;4 eggs;2 teaspoons olive oil,2
