,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
199,Beans and Rice,Quick Black Beans and Rice,https://www.allrecipes.com/recipe/13999/quick-black-beans-and-rice/,5 m,15 m,25 m,Original recipe yields 4 servings,271  cals,5.3 ,47.8,10 ,0 ,552 ,"1 tablespoon vegetable oil;1 onion, chopped;1 (15 ounce) can black beans, undrained;1 (14.5 ounce) can stewed tomatoes;1 teaspoon dried oregano;1/2 teaspoon garlic powder;1 1/2 cups uncooked instant brown rice",1
200,Beans and Rice,Jessica's Red Beans and Rice,https://www.allrecipes.com/recipe/230679/jessicas-red-beans-and-rice/,20 m,30 m,50 m,Original recipe yields 6 servings,560  cals,21.8 ,65.3,26.2 ,51 ,2087 ,"1 pound smoked sausage, sliced;1 onion, chopped, divided;1 green bell pepper, chopped, divided;1 jalapeno pepper, finely diced, divided;2 cups water;2 cubes chicken bouillon;1 tablespoon salt-free garlic and herb seasoning (such as Mrs. Dash®);1 tablespoon Cajun seasoning blend;1 teaspoon red pepper flakes;1 bay leaf;3 (16 ounce) cans kidney beans, drained and rinsed;1 (14.5 ounce) can diced tomatoes;salt to taste;3 cups cooked white rice",3
201,Beans and Rice,Black-Eyed Peas and Rice,https://www.allrecipes.com/recipe/235928/black-eyed-peas-and-rice/,15 m,50 m,9 h 5 m,Original recipe yields 6 servings,274  cals,6.4 ,41.7,12.6 ,11 ,277 ,"1 cup dried black-eyed peas;1 tablespoon olive oil;1 cup lean diced ham;1 onion, chopped;1/2 cup chopped green bell pepper;1 clove garlic, minced;2 cups water;2 bay leaves;2 pinches paprika, or more to taste;salt and ground black pepper to taste;3 cups cooked rice",3
202,Beans and Rice,Green Lentils and Rice Assyrian Style,https://www.allrecipes.com/recipe/218034/green-lentils-and-rice-assyrian-style/,10 m,30 m,40 m,Original recipe yields 8 servings,235  cals,7.3 ,34.6,8.2 ,0 ,222 ,"1 cup dry green lentils;2 cups water;4 tablespoons olive oil, divided;1 cup basmati rice;1 large onion, chopped;3/4 teaspoon salt, or to taste",3
203,Beans and Rice,Red Beans with Rice,https://www.allrecipes.com/recipe/261108/red-beans-with-rice/,10 m,1 h 21 m,1 h 36 m,Original recipe yields 6 servings,215  cals,3.2 ,37.6,9.4 ,0 ,541 ,"3 cups water;1 cup dried red beans, rinsed;1 tablespoon extra-virgin olive oil, or as needed;3 cloves garlic, minced;2 1/2 cups brown rice;1/2 (1.41 ounce) package sazon seasoning (such as Goya®), or to taste;salt to taste",2
204,Beans and Rice,Pacific Cuban Black Beans and Rice,https://www.allrecipes.com/recipe/236781/pacific-cuban-black-beans-and-rice/,20 m,1 h 15 m,1 h 35 m,Original recipe yields 6 servings,559  cals,15.8 ,84.5,19.6 ,18 ,1609 ,"4 cups water;2 cups rice;3 tablespoons olive oil;1 onion, chopped;1 bell pepper, chopped;2 carrots, peeled and chopped;2 ribs celery, chopped;1 tablespoon minced garlic;2 (15 ounce) cans black beans;2 smoked Spanish chorizo sausage links, coarsely chopped;1 cup chicken stock;1 (8 ounce) jar picante sauce;2 bay leaves;2 teaspoons smoked paprika;1 teaspoon red wine vinegar, or more to taste;1 teaspoon ground cumin;1 teaspoon white sugar;1 teaspoon salt, or to taste;1/2 teaspoon ground black pepper, or to taste;1 pinch red pepper flakes (optional)",4
205,Beans and Rice,Khitchari,https://www.allrecipes.com/recipe/256584/khitchari/,10 m,25 m,35 m,Original recipe yields 3 servings (3 soup bowl servings),238  cals,1.1 ,47.5,10.9 ,0 ,16 ,"4 cups water;1/2 cup basmati rice;1/2 cup split mung beans;1 teaspoon grated fresh ginger, or more to taste;1 teaspoon ground coriander;1 teaspoon dried oregano leaves;1 clove garlic, minced;1/2 teaspoon ground cumin;1/4 teaspoon fennel seeds",1
206,Beans and Rice,Madras Dhal,https://www.allrecipes.com/recipe/205581/madras-dhal/,20 m,1 h 11 m,1 h 31 m,Original recipe yields 2 servings,198  cals,3.5 ,39.7,9.3 ,0 ,1189 ,"1 cup toor dal (pigeon peas);1 teaspoon salt;1/2 teaspoon olive oil;1 teaspoon ground cumin;1 small onion, finely chopped;1 (3 inch) piece fresh ginger, finely chopped, or to taste;1/2 teaspoon ground turmeric;2 large tomatoes, chopped;10 sprigs fresh cilantro;1 green chile pepper, finely chopped;1 lemon, juiced",2
207,Beans and Rice,Pressure Cooker Red Beans and Sausage,https://www.allrecipes.com/recipe/220863/pressure-cooker-red-beans-and-sausage/,20 m,30 m,1 h 10 m,Original recipe yields 8 servings,299  cals,18.4 ,16,17 ,39 ,1511 ,"1 pound dried red beans, rinsed;1 (1 pound) package smoked sausage, sliced;1 bay leaf;2 tablespoons Cajun seasoning, or to taste;1/2 clove garlic, chopped;1/2 onion, chopped;1 stalk celery, chopped;1/2 green bell pepper, chopped;1 teaspoon salt;1 teaspoon dried parsley;1/4 teaspoon ground cumin;5 cups cold water, or as needed",2
208,Beans and Rice,Authentic Louisiana Red Beans and Rice,https://www.allrecipes.com/recipe/58211/authentic-louisiana-red-beans-and-rice/,25 m,3 h 5 m,11 h 30 m,Original recipe yields 8 servings,630  cals,24.2 ,79.1,24 ,33 ,604 ,"1 pound dry kidney beans;1/4 cup olive oil;1 large onion, chopped;1 green bell pepper, chopped;2 tablespoons minced garlic;2 stalks celery, chopped;6 cups water;2 bay leaves;1/2 teaspoon cayenne pepper;1 teaspoon dried thyme;1/4 teaspoon dried sage;1 tablespoon dried parsley;1 teaspoon Cajun seasoning;1 pound andouille sausage, sliced;4 cups water;2 cups long grain white rice",5
209,Beans and Rice,Lentils and Rice with Fried Onions (Mujadarrah),https://www.allrecipes.com/recipe/49353/lentils-and-rice-with-fried-onions-mujadarrah/,10 m,40 m,50 m,Original recipe yields 4 servings (4 Servings),535  cals,22.1 ,69.1,17.3 ,< 1 ,312 ,"6 tablespoons olive oil;1 large white onion, sliced into rings;1 1/3 cups uncooked green lentils;3/4 cup uncooked long-grain white rice;salt and pepper to taste;1/4 cup plain yogurt or sour cream (optional)",4
210,Beans and Rice,Easy Red Beans and Rice,https://www.allrecipes.com/recipe/34419/easy-red-beans-and-rice/,10 m,30 m,40 m,Original recipe yields 8 servings,289  cals,5.7 ,42.4,16.3 ,35 ,808 ,"2 cups water;1 cup uncooked rice;1 (16 ounce) package turkey kielbasa, cut diagonally into 1/4 inch slices;1 onion, chopped;1 green bell pepper, chopped;1 clove chopped garlic;2 (15 ounce) cans canned kidney beans, drained;1 (16 ounce) can whole peeled tomatoes, chopped;1/2 teaspoon dried oregano;salt to taste;1/2 teaspoon pepper",2
211,Beans and Rice,Cuban Beans and Rice,https://www.allrecipes.com/recipe/21574/cuban-beans-and-rice/,10 m,50 m,1 h,Original recipe yields 6 servings,258  cals,3.2 ,49.3,7.3 ,2 ,750 ,"1 tablespoon olive oil;1 cup chopped onion;1 green bell pepper, chopped;2 cloves garlic, minced;1 teaspoon salt;4 tablespoons tomato paste;1 (15.25 ounce) can kidney beans, drained with liquid reserved;1 cup uncooked white rice",2
212,Beans and Rice,Amy's Spicy Beans and Rice,https://www.allrecipes.com/recipe/25279/amys-spicy-beans-and-rice/,5 m,40 m,45 m,Original recipe yields 6 servings,96  cals,4.3 ,11.2,3.7 ,10 ,114 ,"1 1/2 cups water;1/2 cup uncooked brown rice;2 (15 ounce) cans black beans, undrained;2 fresh jalapeno peppers, seeded and chopped;1 teaspoon ground cumin, or to taste;1 tablespoon chili powder, or to taste;black pepper to taste;1/2 cup shredded sharp Cheddar cheese;2 fresh green onions, chopped;1/2 (2 ounce) can sliced black olives, drained",5
213,Beans and Rice,"Authentic, No Shortcuts, Louisiana Red Beans and Rice",https://www.allrecipes.com/recipe/148759/authentic-no-shortcuts-louisiana-red-beans-and-rice/,20 m,8 h,8 h 20 m,Original recipe yields 8 servings,556  cals,22.3 ,61.5,27.2 ,50 ,615 ,"1 pound dried red beans, soaked overnight;10 cups water;1 pound andouille sausage, sliced into rounds;1 large sweet onion, chopped;1 green bell pepper, chopped;1 jalapeno pepper, seeded and chopped (optional);8 cloves garlic, chopped;1 teaspoon ground black pepper;1 teaspoon Creole seasoning, or to taste;6 fresh basil leaves, chopped;1 ham hock;4 cups cooked rice",2
214,Beans and Rice,Quick and Easy Red Beans and Rice,https://www.allrecipes.com/recipe/83512/quick-and-easy-red-beans-and-rice/,,,,,,,,,,,,0
215,Beans and Rice,Chef John's Red Beans and Rice,https://www.allrecipes.com/recipe/241499/chef-johns-red-beans-and-rice/,30 m,3 h 15 m,3 h 45 m,Original recipe yields 8 servings,542  cals,20.5 ,62.9,25.9 ,46 ,1384 ,"1 pound dry red kidney beans;1 tablespoon vegetable oil;12 ounces andouille sausage, diced;1 cup finely diced onion;3/4 cup chopped celery;3/4 cup poblano peppers;4 cloves garlic, minced;2 quarts chicken broth, or more as needed;1 smoked ham hock;2 bay leaves;1 teaspoon freshly ground black pepper;1 teaspoon dried thyme;1/2 teaspoon cayenne pepper, or to taste;hot sauce to taste;4 cups cooked white rice;2 tablespoons chopped green onion, or to taste",4
216,Beans and Rice,Mujaddara Arabic Lentil Rice,https://www.allrecipes.com/recipe/214780/mujaddara-arabic-lentil-rice/,15 m,1 h 10 m,1 h 25 m,Original recipe yields 6 servings,371  cals,14.4 ,49.8,11.6 ,0 ,788 ,"1 cup dry lentils, rinsed;2 cups water;1 teaspoon salt;1 tablespoon ground cumin;1 tablespoon garlic powder;3/4 cup white rice, rinsed;3/4 cup water;1 teaspoon salt;2 tablespoons olive oil;1/4 cup vegetable oil;3 white onions, sliced into 1/4-inch rings",3
217,Beans and Rice,Dirty Rice,https://www.allrecipes.com/recipe/15013/dirty-rice/,20 m,25 m,45 m,Original recipe yields 6 servings,409  cals,9 ,71.4,13.7 ,0 ,424 ,"2 tablespoons olive oil;3 cloves garlic, minced;1 cup chopped onion;1 green bell pepper, chopped;1 tablespoon chili powder;2 teaspoons annatto or achiote powder (optional);1/4 teaspoon crushed red pepper;1 teaspoon ground cumin;1/4 teaspoon ground cinnamon;1 1/3 cups uncooked white rice;2 3/4 cups water;1 teaspoon salt;3 roma (plum) tomatoes, chopped;1 1/3 cups whole corn kernels, blanched;1 cup black beans, cooked and drained;1/4 cup toasted pine nuts;freshly ground black pepper;1 red onion, thinly sliced;1 tablespoon fresh lime juice;2 tablespoons chopped fresh cilantro;1 lime, cut into wedges;2 teaspoons annatto powder",3
218,Beans and Rice,Coconut Rice with Black Beans,https://www.allrecipes.com/recipe/172150/coconut-rice-with-black-beans/,5 m,25 m,30 m,Original recipe yields 6 servings (3 cups),190  cals,8 ,27.2,2.8 ,5 ,19 ,"1 tablespoon butter;1/2 shallot, minced;1 cup uncooked jasmine rice;3/4 cup coconut milk;1 cup water;1 pinch ground nutmeg;1 (15 ounce) can black beans, rinsed and drained",1
219,Beans and Rice,Easy Arroz con Gandules,https://www.allrecipes.com/recipe/14040/easy-arroz-con-gandules/,,,,Original recipe yields 12 servings,237  cals,4.9 ,42,7.1 ,0 ,400 ,"2 green bell peppers, diced;1 onion, chopped;6 cloves garlic, minced;1 bunch cilantro, finely chopped;3 tablespoons olive oil;1 (15 ounce) can tomato sauce;1 (.25 ounce) package Spanish seasoning;3 cups uncooked brown rice;2 (15 ounce) cans pigeon peas, drained;6 cups boiling water",4
220,Beans and Rice,Creole Red Beans and Rice,https://www.allrecipes.com/recipe/220115/creole-red-beans-and-rice/,25 m,4 h 45 m,13 h 10 m,Original recipe yields 6 servings,621  cals,19.1 ,82.3,31 ,49 ,3822 ,"1 pound dry red kidney beans;3 quarts water;1 green bell pepper, chopped;1 onion, chopped;4 stalks celery, chopped;2 tablespoons salt;2 tablespoons ground black pepper;2 tablespoons Creole seasoning;3 cloves garlic, minced;1 (16 ounce) package smoked sausage, cut into 1 1/2-inch pieces;2 cups water;1 tablespoon margarine;1 cup uncooked white rice",9
221,Beans and Rice,American-Style Red Beans and Rice,https://www.allrecipes.com/recipe/25331/american-style-red-beans-and-rice/,5 m,30 m,35 m,Original recipe yields 4 servings,511  cals,5.1 ,101.1,14.7 ,0 ,712 ,"1 tablespoon olive oil;1 (15 ounce) can kidney beans;1 1/2 cups tomato sauce;4 1/2 cups water, divided;1/2 teaspoon dried oregano;1/2 teaspoon dried basil;1 pinch dried thyme;salt and pepper to taste;5 teaspoons adobo seasoning, divided;2 cups uncooked white rice",2
222,Beans and Rice,Pressure Cooker Mexican Beef Rice ,https://www.allrecipes.com/recipe/261118/pressure-cooker-mexican-beef-rice/,15 m,26 m,46 m,Original recipe yields 8 servings,358  cals,14 ,37.6,21.3 ,54 ,929 ,"1 tablespoon olive oil;1 pound lean ground beef;1 cup diced red onion;1 teaspoon chili powder;1/2 teaspoon salt;1/2 teaspoon ground cumin;2 cups water;2 cups chunky salsa;1 cup long-grain white rice, rinsed;1 (15 ounce) can black beans, drained and rinsed;1 cup cooked corn kernels;2 tablespoons chopped fresh cilantro;1 cup shredded Cheddar cheese",4
223,Beans and Rice,Jamaican Beans and Rice Dish,https://www.allrecipes.com/recipe/25343/jamaican-beans-and-rice-dish/,5 m,2 h 30 m,2 h 35 m,Original recipe yields 6 servings,407  cals,9.9 ,67.5,13.8 ,0 ,12 ,"1 1/4 cups dry kidney beans;1 cup coconut milk;1 sprig fresh thyme;1 teaspoon minced garlic;1/8 cup chopped green onions;1 hot red chile pepper, sliced;2 1/4 cups uncooked brown rice",2
